Time Period,Location,Wind Direction (degrees),Wind Speed (m_s-1),Air Pressure (pa),Temperature (C)
2019-10-07T14:50:00+00:00,https://api.weather.gov/stations/KGPM,10.0,7.2,102370.0,18.0
2019-10-07T15:50:00+00:00,https://api.weather.gov/stations/KGPM,360.0,7.7,102410.0,20.0
2019-10-07T16:50:00+00:00,https://api.weather.gov/stations/KGPM,360.0,6.7,102410.0,22.0
2019-10-07T17:50:00+00:00,https://api.weather.gov/stations/KGPM,30.0,5.1,102340.0,23.0
2019-10-07T18:50:00+00:00,https://api.weather.gov/stations/KGPM,360.0,6.2,102200.0,24.0
2019-10-07T20:50:00+00:00,https://api.weather.gov/stations/KGPM,10.0,5.7,102100.0,26.0
2019-10-07T21:50:00+00:00,https://api.weather.gov/stations/KGPM,360.0,6.2,102030.0,26.0
2019-10-07T22:50:00+00:00,https://api.weather.gov/stations/KGPM,340.0,5.1,102030.0,26.0
2019-10-07T23:50:00+00:00,https://api.weather.gov/stations/KGPM,10.0,4.1,102070.0,24.0
2019-10-08T01:50:00+00:00,https://api.weather.gov/stations/KGPM,350.0,4.1,102100.0,21.0
2019-10-08T02:15:00+00:00,https://api.weather.gov/stations/KGPM,350.0,3.6,102130.0,20.7
2019-10-08T02:35:00+00:00,https://api.weather.gov/stations/KGPM,350.0,2.6,102130.0,20.6
2019-10-08T02:55:00+00:00,https://api.weather.gov/stations/KGPM,350.0,2.1,102130.0,19.5
2019-10-08T03:15:00+00:00,https://api.weather.gov/stations/KGPM,20.0,1.5,102130.0,18.6
2019-10-08T03:35:00+00:00,https://api.weather.gov/stations/KGPM,360.0,1.5,102170.0,19.0
2019-10-08T03:55:00+00:00,https://api.weather.gov/stations/KGPM,10.0,1.5,102170.0,19.2
2019-10-08T04:15:00+00:00,https://api.weather.gov/stations/KGPM,10.0,1.5,102170.0,18.1
2019-10-08T04:35:00+00:00,https://api.weather.gov/stations/KGPM,20.0,1.5,102170.0,17.8
2019-10-08T04:55:00+00:00,https://api.weather.gov/stations/KGPM,30.0,1.5,102170.0,17.6
2019-10-08T05:15:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102170.0,17.6
2019-10-08T05:35:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102130.0,18.1
2019-10-08T05:55:00+00:00,https://api.weather.gov/stations/KGPM,30.0,1.5,102130.0,17.0
2019-10-08T06:15:00+00:00,https://api.weather.gov/stations/KGPM,30.0,1.5,102130.0,16.6
2019-10-08T06:35:00+00:00,https://api.weather.gov/stations/KGPM,20.0,1.5,102100.0,16.6
2019-10-08T06:55:00+00:00,https://api.weather.gov/stations/KGPM,30.0,1.5,102100.0,16.5
2019-10-08T07:15:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102100.0,16.3
2019-10-08T07:35:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102100.0,16.5
2019-10-08T07:55:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102100.0,16.0
2019-10-08T08:15:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102100.0,16.2
2019-10-08T08:35:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102070.0,16.0
2019-10-08T08:55:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102070.0,15.7
2019-10-08T09:15:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102100.0,15.6
2019-10-08T09:35:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102100.0,15.8
2019-10-08T09:55:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102100.0,15.2
2019-10-08T10:15:00+00:00,https://api.weather.gov/stations/KGPM,60.0,1.5,102100.0,14.5
2019-10-08T10:35:00+00:00,https://api.weather.gov/stations/KGPM,60.0,1.5,102100.0,14.5
2019-10-08T10:55:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102130.0,14.7
2019-10-08T11:15:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102130.0,14.7
2019-10-08T11:35:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102130.0,14.5
2019-10-08T11:50:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102130.0,14.0
2019-10-08T12:50:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,102130.0,14.0
2019-10-08T13:50:00+00:00,https://api.weather.gov/stations/KGPM,120.0,1.5,102170.0,18.0
2019-10-08T14:50:00+00:00,https://api.weather.gov/stations/KGPM,120.0,1.5,102200.0,19.0
2019-10-08T15:50:00+00:00,https://api.weather.gov/stations/KGPM,140.0,2.6,102170.0,21.0
2019-10-08T16:50:00+00:00,https://api.weather.gov/stations/KGPM,90.0,3.1,102130.0,22.0
2019-10-08T17:50:00+00:00,https://api.weather.gov/stations/KGPM,50.0,1.5,102030.0,23.0
2019-10-08T18:50:00+00:00,https://api.weather.gov/stations/KGPM,90.0,1.5,101900.0,25.0
2019-10-08T19:50:00+00:00,https://api.weather.gov/stations/KGPM,140.0,2.1,101760.0,25.0
2019-10-08T20:50:00+00:00,https://api.weather.gov/stations/KGPM,80.0,3.6,101690.0,26.0
2019-10-08T21:50:00+00:00,https://api.weather.gov/stations/KGPM,80.0,3.6,101630.0,26.0
2019-10-08T22:50:00+00:00,https://api.weather.gov/stations/KGPM,100.0,3.1,101560.0,26.0
2019-10-08T23:50:00+00:00,https://api.weather.gov/stations/KGPM,110.0,3.1,101560.0,25.0
2019-10-09T00:50:00+00:00,https://api.weather.gov/stations/KGPM,110.0,3.1,101560.0,23.0
2019-10-09T02:15:00+00:00,https://api.weather.gov/stations/KGPM,120.0,1.5,101630.0,21.0
2019-10-09T02:35:00+00:00,https://api.weather.gov/stations/KGPM,120.0,1.5,101630.0,20.5
2019-10-09T02:55:00+00:00,https://api.weather.gov/stations/KGPM,120.0,2.1,101630.0,20.5
2019-10-09T03:15:00+00:00,https://api.weather.gov/stations/KGPM,120.0,1.5,101630.0,20.0
2019-10-09T03:35:00+00:00,https://api.weather.gov/stations/KGPM,0.0,0.0,101660.0,19.6
2019-10-09T03:55:00+00:00,https://api.weather.gov/stations/KGPM,100.0,1.5,101630.0,19.1
2019-10-09T04:15:00+00:00,https://api.weather.gov/stations/KGPM,110.0,1.5,101630.0,19.1
2019-10-09T04:35:00+00:00,https://api.weather.gov/stations/KGPM,120.0,1.5,101630.0,18.8
2019-10-09T04:55:00+00:00,https://api.weather.gov/stations/KGPM,120.0,2.1,101630.0,18.6
